"time"	"time"	"antispace"
7730	7730	0.0004394441171
7740	7740	0.0004350715751
7750	7750	0.0004307425406
7760	7760	0.0004264565807
7770	7770	0.0004222132668
7780	7780	0.0004180121746
7790	7790	0.000413852884
7800	7800	0.000409734979
7810	7810	0.0004056580478
7820	7820	0.0004016216828
7830	7830	0.0003976254803
7840	7840	0.0003936690407
7850	7850	0.0003897519683
7860	7860	0.0003858738714
7870	7870	0.0003820343622
7880	7880	0.0003782330568
7890	7890	0.000374469575
7900	7900	0.0003707435405
7910	7910	0.0003670545806
7920	7920	0.0003634023265
7930	7930	0.0003597864129
7940	7940	0.0003562064783
7950	7950	0.0003526621646
7960	7960	0.0003491531175
7970	7970	0.0003456789859
7980	7980	0.0003422394225
7990	7990	0.0003388340834
8000	8000	0.0003354626279
8010	8010	0.000332124719
8020	8020	0.0003288200228
8030	8030	0.0003255482089
8040	8040	0.0003223089501
8050	8050	0.0003191019225
8060	8060	0.0003159268053
8070	8070	0.0003127832811
8080	8080	0.0003096710354
8090	8090	0.0003065897571
8100	8100	0.0003035391381
8110	8110	0.0003005188732
8120	8120	0.0002975286604
8130	8130	0.0002945682008
8140	8140	0.0002916371982
8150	8150	0.0002887353596
8160	8160	0.0002858623948
8170	8170	0.0002830180164
8180	8180	0.0002802019401
8190	8190	0.0002774138842
8200	8200	0.00027465357
8210	8210	0.0002719207213
8220	8220	0.0002692150649
8230	8230	0.0002665363303
8240	8240	0.0002638842495
8250	8250	0.0002612585573
8260	8260	0.0002586589912
8270	8270	0.0002560852913
8280	8280	0.0002535372
8290	8290	0.0002510144627
8300	8300	0.0002485168271
8310	8310	0.0002460440434
8320	8320	0.0002435958642
8330	8330	0.0002411720449
8340	8340	0.0002387723429
8350	8350	0.0002363965184
8360	8360	0.0002340443338
8370	8370	0.0002317155537
8380	8380	0.0002294099455
8390	8390	0.0002271272784
8400	8400	0.0002248673242
8410	8410	0.0002226298569
8420	8420	0.0002204146528
8430	8430	0.0002182214904
8440	8440	0.0002160501503
8450	8450	0.0002139004154
8460	8460	0.0002117720707
8470	8470	0.0002096649034
8480	8480	0.0002075787027
8490	8490	0.0002055132601
8500	8500	0.000203468369
8510	8510	0.0002014438249
8520	8520	0.0001994394254
8530	8530	0.0001974549699
8540	8540	0.0001954902601
8550	8550	0.0001935450996
8560	8560	0.0001916192936
8570	8570	0.0001897126498
8580	8580	0.0001878249774
8590	8590	0.0001859560877
8600	8600	0.0001841057937
8610	8610	0.0001822739104
8620	8620	0.0001804602547
8630	8630	0.0001786646452
8640	8640	0.0001768869022
